,"Helper count column, this is just the ID number extracted, ignore.",Last seen date,Last Seen time,Last seen by,,,Location,Physical Description,Birthday estimate,Behavior,TNR'd?,TNR date,Male or Female,Common nicknames,Comments,Number of pics,Recently seen? (Automatically checked if a photo is sent of this cat in the last 3 months AND they are NOT 'confirmed to not return'),"Confirmed to not return (Use this if deceased, adopted, assumed permanently missing, or similar)"
102. Keaton,102,3/3/2026,4:16:56 PM,pancakemixteamdj,,,Lot 50,"Thickly built, solid gray short coat with orange eyes.",1/1/2022,Stares at your soul (rude),No,,Male,,,25,TRUE,FALSE
103. Bea,103,3/8/2026,8:53:26 PM,cici4f3,,,Lot 50,"Gray and white piebald, fluffy coat",4/25/2025,Hungry.,No,,Male,Beabadoobee,Found deceased 3/23/2026,26,FALSE,TRUE
104. Joji,104,3/22/2026,2:46:49 PM,cici4f3,,,Lot 50,"Solid gray long coat, orange eyes",1/1/2025,Looks surprised all the time,Yes,3/10/2026,Male,,,42,TRUE,FALSE
105. Chilton,105,3/23/2026,9:40:04 PM,wildflower1202,,,Bookstore / First Baptist Church,Brownish-gray tabby with white bib,7/8/2025,Scared baby. Loves to play with lure/flirt toys and fingers,Yes,11/19/2025,Female,Christian name Chili,"Name means ""little chili""",106,TRUE,FALSE
106. Ami,106,1/11/2026,6:07:36 PM,wildflower1202,,,Bookstore / First Baptist Church,Black and white bibbed with tall white socks on back legs and white pawtips. Slight white streak on face,8/8/2025,Hides in bushes. Loves to play with lure/flirt toys,No,,Male,"Amiton, Christian name Hunter","Name means ""hunter""",63,TRUE,FALSE
107. Miztli,107,9/9/2025,1:16:47 PM,simplyshadow171295,,,Bookstore / First Baptist Church,Black and white bibbed with one white back sock. Assumed deceased,8/8/2025,Very loud,No,,N/A,Christian name Willie,"Name means ""mountain lion"" or ""wildcat""",1,FALSE,FALSE
108. Mazatl,108,2/27/2026,9:41:50 AM,adeyumii,,,Bookstore / First Baptist Church,"Light gray tabby with highlights on the underside, white toes, and under eye highlights. Fluffy/medium coat",8/1/2025,"Loves to lay and eat, wants to play but will not initiate it",No,,Male,Christian name Stag,"Name means ""deer""",44,TRUE,FALSE
109. Tlalli,109,2/27/2026,9:41:50 AM,adeyumii,,,Bookstore / First Baptist Church,"Short coated dark gray with white on toes and a streak on the nose. White bib and front toes, socks on back legs.",8/1/2025,He just kind of stares at you if you move. Will accept tube treats if you're nonchalant,No,,Male,Christian name Forrest,"Name means ""earth"" or ""soil"". Found deceased on 3/13/2026",57,FALSE,TRUE
110. Ahua,110,11/12/2025,9:46:03 PM,wildflower1202,,,Bookstore / First Baptist Church,"Brown tabby with white back socks and a stripey tail. Highlights around the tops of eyes, sonar ears and large whiskers",8/1/2025,"Alert, skittish",No,,,Christian name Thorn,"Name means ""thorn"", assumed deceased",23,FALSE,FALSE
111. Mayatl,111,1/19/2026,8:20:26 PM,wildflower1202,,,Bookstore / First Baptist Church,"Gray tabby with darker stripey tail. White front toes and highlights all around eye. Small bib, white back socks.",8/1/2025,"Sleepy, enjoyer of people and playing",No,,Male,Christian name Beetle,"Name means ""beetle""",64,TRUE,FALSE
113. Ty,113,9/11/2025,7:37:49 PM,phat_cat_207,,,West Campus,Small solid white cat,6/1/2025,tiny,No,,,"Tighty Whites, Knickers",,1,FALSE,FALSE
114. Elision,114,3/22/2026,6:09:35 PM,wildflower1202,,,Bookstore / First Baptist Church,"Medium brown tabby with white on his nose and lower face, along with a small brown patch on his chin.",1/1/2024,Extremely hungry. Will volunteer cats to get TNR'd,No,,Male,,,26,TRUE,FALSE
115. Toothless,115,2/16/2026,6:37:35 PM,izzyballz,,,North Campus / Engineering Research Building,"Solid black. Very long! A snake-like individual, this one is.",1/1/2023,INSANELY social,Yes,,Male,,"First spotted 9/13/2025, adopted 10/2/2025",97,FALSE,TRUE
116. Itzel,116,3/22/2026,6:38:40 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Mostly black calico with large orange spot on face. ,8/16/2025,"Skittish, but enjoys playing and eating. Most of the way to allowing her people to pet her",Yes,3/10/2026,Female,Christian name Rainbow,"Name means ""rainbow lady""",215,TRUE,FALSE
117. Chance,117,10/4/2025,8:36:24 PM,austinbaustinb,,,Bookstore / First Baptist Church,Smaller version of Cloudy,6/1/2025,Just a guy,No,,,,,4,FALSE,FALSE
118. Stinker,118,11/12/2025,8:52:27 AM,not_d3fault_1420,,,All over!,Black with some white stripes,6/28/1971,Stinky,We don't do that.,,Indeed,,,6,FALSE,FALSE
119. Wing,119,9/27/2025,7:38:41 PM,austinbaustinb,,,North Campus / Engineering Research Building,Calico kitten,,Runs (rude),,,Female,,Spotted with Stop,1,FALSE,FALSE
120. Stop,120,9/27/2025,7:38:41 PM,austinbaustinb,,,North Campus / Engineering Research Building,Black kitten,,Stares (rude),,,,,Spotted with Wing,2,FALSE,FALSE
121. Spongebop,121,11/5/2025,5:20:45 PM,kc.yt,,,West Campus,Black tortoiseshell,,Stares at your soul (rude),Yes,,Female,Autumn,Found deceased 11/10/2025,11,FALSE,TRUE
122. BDubs,122,10/23/2025,11:17:38 PM,emiximez,,,North Campus / Engineering Research Building,Adult black cat,,Extremely friendly,,,Male,Oil Rig,,4,FALSE,FALSE
123. Temiquini,123,10/26/2025,7:18:34 PM,wildflower1202,,,Bookstore / First Baptist Church,"Low white tortie, brown undersides",,Shameless food hogger,No,N/A,Female,"Christian name ""Dreamer""","Name means ""dreamer"". Passed away 10/27/2025",36,FALSE,TRUE
124. Yumi,124,2/22/2026,2:08:16 PM,pandaaaas,,,Lot 50,"Brown/gray and white tabby, looks like Eden, but has a white splotch on his back left leg.",,Really frightened by people,No,,Male,"Sixty-seven, 67","Gorygreg baby, likely sibling to Conan Gray",62,TRUE,FALSE
125. Conan Gray,125,3/20/2026,7:24:45 PM,.s3j,,,Lot 50,Black and white baby 🥀 ,,May let you pet him if you catch him while he's eating,No,,Male,,"Gorygreg baby, likely sibling to Yumi",116,TRUE,FALSE
126. Tax Evasion,126,3/21/2026,7:10:36 PM,austinbaustinb,,,Bookstore / First Baptist Church,"Thick. Solid black, yellow eyes",,"Very elusive. Runs when spotted. Also very argumentative, can be seen yowling at Bobbie",Yes,1/16/2026,Male,,"Similar size to Itzli, clipped ear. Doesn't cross the street to FBC. Bro weighed in at 11 lbs when he was neutered",19,TRUE,FALSE
127. Eleanor,127,12/8/2025,8:43:14 PM,adeyumii,,,Lot 50,High white gray/orange calico. Has a gray streak on her nose,,,No,,Female,,Perhaps related to Laufey?,40,FALSE,FALSE
128. Sinatra,128,2/21/2026,3:25:31 PM,pandaaaas,,,Lot 50,"Tiny brown tabby, thick arm bands",,"Very sociable, can be picked up",Yes,11/19/2025,Male,,Adopted,161,TRUE,FALSE
129. Charles,129,3/22/2026,5:24:57 PM,pandaaaas,,,Heights On Pecan,Light ginger with a mean face and white bib,1/1/2023,Hungry,No,,,,,66,TRUE,FALSE
130. Skipper,130,11/13/2025,5:38:30 PM,plink5277,,,West Campus,Darker brown tabby,9/10/2025,Just a baby,No,,,,,8,FALSE,FALSE
131. Jazzy,131,#N/A,#N/A,#N/A,,,West Campus,Lighter brown tabby,9/10/2025,Just a baby,No,,,,,0,FALSE,FALSE
132. Kelley,132,11/13/2025,5:38:30 PM,plink5277,,,West Campus,Plain dark orange tabby,9/10/2025,Just a baby,No,,,,,15,FALSE,FALSE
133. Fluff,133,11/13/2025,5:38:30 PM,plink5277,,,West Campus,Light orange/white bib,9/10/2025,Just a baby,No,,,,,5,FALSE,FALSE
134. Kacie,134,10/27/2025,3:03:52 PM,emiximez,,,West Campus,"Gray tabby, I think",9/10/2025,Just a baby,No,,,,,3,FALSE,FALSE
135. Tumor,135,10/29/2025,5:03:27 PM,void_now,,,"Mary Kay Apartments, Zen Gardens Apartments",High white creature with a funny looking 'haircut' of black,,Idk,,,,,,2,FALSE,FALSE
136. Henry,136,10/29/2025,9:50:40 PM,izzyballz,,,West Campus,CHUNKY brown tabby,,Wanders,,,,,Honorary campus cat,2,FALSE,FALSE
137. Harpy,137,3/22/2026,2:46:49 PM,cici4f3,,,Lot 50,"Brown classic tabby. Scraggly, light face, ""weird stripes"".",10/5/2025,"Not social, will stare at you funny",Yes,3/10/2026,Female,,,35,TRUE,FALSE
138. Hare,138,2/5/2026,11:56:48 AM,adeyumii,,,Lot 50,Fluffy gray,10/5/2025,Stares at you like you've got a disease,No,,,,Deceased 2/4/2026,30,FALSE,TRUE
139. Hound,139,3/21/2026,6:56:32 PM,austinbaustinb,,,Lot 50,Brown mackarel tabby,10/5/2025,Likes to sit next to Sinatra and confuse Atlas when they're IDing,Yes,3/10/2026,,,,16,TRUE,FALSE
140. Gordon,140,2/17/2026,3:28:04 PM,pancakemixteamdj,,,Lot 50,"Solid gray adult, short fur, green eyes",,Possibly traveling with Maddox?,,,,,,6,TRUE,FALSE
141. Kamahalan,141,2/9/2026,5:34:35 PM,austinbaustinb,,,Lot 50,Gray kitten,10/5/2025,Possibly rejected. Very social with humans,No,,Male,,,67,TRUE,FALSE
142. Teddy,142,11/19/2025,12:56:50 PM,adeyumii,,,Lot 50,Gray and white adult,,,,,,,May be Rubber's sibling,4,FALSE,FALSE
143. Timothy,143,11/19/2025,12:56:50 PM,adeyumii,,,Lot 50,Solid black adult,,,,,,,Named via donation,4,FALSE,FALSE
144. Peats,144,2/16/2026,6:37:22 PM,izzyballz,,,Lot 50,Tan broken tabby tom,,Drools,No,,Male,,,14,TRUE,FALSE
145. Bagel,145,11/16/2025,7:29:56 PM,_costco_wholesale_,,,Heights On Pecan,Dark orange guy,,Hates you,No,,,,,1,FALSE,FALSE
146. Monsieur Stanky,146,3/22/2026,2:46:49 PM,cici4f3,,,Lot 50,Mr. Stinky Clone. Longhaired classic tabby with a weird stare,,,No,,Female,Missus Stanky,,85,TRUE,FALSE
147. Tenextic,147,2/20/2026,9:05:27 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Dark gray tabby with a slim face. Bright green eyes,,Will watch you from a distance,Yes,2/16/2026,Male,"Random Gray, Gray",Probably Atzi's brother or something,18,TRUE,FALSE
148. Neyo,148,11/26/2025,11:50:14 AM,adeyumii,,,Lot 50,Skinny brown tabby,,Beefs,Yes,,Male,,"Caught 3/24/2026, confirmed fixed already. Unsure original TNR date.",3,FALSE,FALSE
149. Mango,149,12/6/2025,2:45:55 PM,.bettercalljack,,,Zen Gardens Apartments,Orange Noir baby.,11/10/2025,Just a babby,No,,,,,3,FALSE,FALSE
150. Larceny,150,2/20/2026,9:05:27 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Mr. Stinky lookalike,,Likes fighting,No,,Male,,,8,TRUE,FALSE
151. TheFreaker,151,2/20/2026,9:23:21 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Houdini lookalike,,Likes fighting,No,,Male,"The Freaker, The Mimic",,8,TRUE,FALSE
152. Cow Cat,152,1/9/2026,8:45:11 AM,adeyumii,,,Lot 50,Black and white cow patterned cow cat! They have a distinctive 'black splatter' pattern on a mostly white body.,,,No,,,,,6,TRUE,FALSE
153. Pachontic,153,2/20/2026,7:26:59 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Long hair gray and white. Face described as 'rat-like'. Big 'ol guy.,,"Skittish, runs",No,,Male,Eggs Clone,"Name means: ""Something wooly or hairy""",7,TRUE,FALSE
154. Cipactli,154,2/24/2026,7:45:22 PM,wildflower1202,,,Bookstore / First Baptist Church,"Tepi's almost-identical twin? Light gray tabby with broader face. Yellow eyes, black nose.",,"Skittish, stares at you until you get close",Yes,2/16/2026,Female,Gator,"Name meaning ""alligator""",1,TRUE,FALSE
155. Red 40,155,3/20/2026,8:05:11 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Brown tabby that looks either scared or sad all the time. HUGE tom cheeks,,Skittish but not completely afraid to fight,No,,Male,,,9,TRUE,FALSE
156. Nyauri,156,#N/A,#N/A,#N/A,,,Center Chase Apartments & The Greens,"Black and white bicolor, white stripe down its back",,Possibly a skunk? /j,No,,,,"Name means ""Mongoose""",0,FALSE,FALSE
157. Bundy,157,2/16/2026,6:15:35 PM,wildflower1202,,,Bookstore / First Baptist Church,Orange tuxedo with markings on snout,,Stares and fights but will run from strangers,No,,Male,EMWFOC,Was found fighting Coatl,9,TRUE,FALSE
158. Ripe Banana,158,2/26/2026,7:20:49 PM,slayc127,,,West Campus,Black cat with yellow eyes,,,No,,Male,,"""West Campus Black Cat""",2,TRUE,FALSE
159. ARDRC,159,2/24/2026,5:23:50 PM,toad5545,,,West Campus,Cream colored longhaired baby,,SUPER friendly,No,,,,"Found at ARDRC, may be someone's pet",2,TRUE,FALSE
160. Hira,160,2/28/2026,9:25:44 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Gray kitten with white on face,2/23/2026,,No,,,,itztli's litter,1,FALSE,TRUE
161. Haku,161,2/28/2026,9:25:44 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Black kitten,2/23/2026,,No,,,,itztli's litter,1,FALSE,TRUE
162. Aago,162,2/28/2026,9:25:44 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Fully gray kitten,2/23/2026,,No,,,,itztli's litter,0,TRUE,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
,,,,,,,,,,,,,,,,0,,FALSE
