[10/19/2025 12:00:09.587 AM] Message  || User: diaxart             || Channel: #memes                               || Content: https://tenor.com/view/cat-kitty-pussycat-feline-gif-26001328
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Mario Rodriguez $3.00 on 2025-04-16
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Elisha Taylor $5.00 on 2025-04-16
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jacob Sandoval $3.00 on 2025-04-16
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Isabella Klein $9.70 on 2025-08-26
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Nelda Hernandez $2.00 on 2025-08-26
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Troy Broome $1.00 on 2025-08-26
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Div Bits $2.00 on 2025-08-26
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jacob Sandoval $1.00 on 2025-08-26
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Aubrey Cunningham $10.00 on 2025-08-26
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Maxwell Preston $5.00 on 2025-08-26
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Sophia Herrera $6.00 on 2025-08-26
[10/19/2025 03:31:19.061 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Miguel V $5.00 on 2025-08-26
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Nelda Hernandez $3.00 on 2025-08-26
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Megan Digiovanni $130.00 on 2025-08-26
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Pedro Savala $5.00 on 2025-08-27
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jonathan Mcgeever $5.00 on 2025-08-27
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Axel Torres $24.25 on 2025-08-22
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: M. Padron $20.00 on 2025-08-26
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Addison Loera $8.00 on 2025-08-26
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Amber Thomas $5.00 on 2025-08-26
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Kathleen Cantu $1.00 on 2025-08-26
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Amber Thomas $3.00 on 2025-08-26
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Rob Jimenez $3.00 on 2025-08-26
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Daniel Brantley $3.00 on 2025-08-26
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Kylie Crook $5.00 on 2025-09-16
[10/19/2025 03:31:19.077 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jenny Nguyen $9.70 on 2025-09-03
[10/19/2025 03:31:20.954 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Py Store Here Pantego $54.00 on 2025-04-20
[10/19/2025 03:31:20.954 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: j s $11.68 on 2025-04-22
[10/19/2025 03:31:20.954 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Wix $25.98 on 2025-04-26
[10/19/2025 03:31:20.954 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Wix $25.98 on 2025-08-26
[10/19/2025 03:31:20.954 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Derek Fuentes $25.98 on 2025-08-26
[10/19/2025 03:31:20.954 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Py Store Here Pantego $54.00 on 2025-08-20
[10/19/2025 03:31:20.954 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Megan Digiovanni $47.62 on 2025-08-26
[10/19/2025 03:31:20.967 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: NNT PETSMART # $32.46 on 2025-08-06
[10/19/2025 03:31:20.967 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Megan Digiovanni $74.92 on 2025-07-30
[10/19/2025 03:31:20.967 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: TOMAHAWK LIVE TRAP $581.62 on 2025-05-11
[10/19/2025 03:31:20.967 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Py Store Here Pantego $54.00 on 2025-05-20
[10/19/2025 03:31:20.967 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Derek Fuentes $72.45 on 2025-05-23
[10/19/2025 03:31:20.967 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Wix $25.98 on 2025-05-26
[10/19/2025 03:31:20.967 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Megan Digiovanni $89.91 on 2025-10-05
[10/19/2025 03:31:20.967 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: DOMINO'S $60.57 on 2025-09-09
[10/19/2025 03:31:20.967 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Derek Fuentes $20.00 on 2025-09-10
[10/19/2025 06:36:10.837 AM] React+   || User: slayc127            || Channel: #pictures-of-the-cats                || emoji=‼️; msg="microwave is so photogenic (last photo)" by emiximez
[10/19/2025 07:12:13.192 AM] React+   || User: simplyshadow171295  || Channel: #feeding-team                        || emoji=💀; msg="super late maintenance fed" by lifeye
[10/19/2025 07:20:48.760 AM] Message  || User: simplyshadow171295  || Channel: #yapper-committee                    || Content: it’s 56° feels like 50° life is GOOD
[10/19/2025 07:32:12.692 AM] Message  || User: a1darek             || Channel: #yapper-committee                    || Content: FOR FUCKING REAL
[10/19/2025 07:59:35.555 AM] Message  || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || Content: @Austin B [Records Director] working with the doctor that looked at ...
[10/19/2025 08:01:55.569 AM] React+   || User: adeyumii            || Channel: #pet-pictures                        || emoji=💖; msg=1428577424957898795
[10/19/2025 08:03:02.029 AM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: High of 90 tomorrow :(
[10/19/2025 08:05:16.730 AM] React+   || User: slayc127            || Channel: #yapper-committee                    || emoji=👎; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:05:21.115 AM] React+   || User: slayc127            || Channel: #yapper-committee                    || emoji=💔; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:05:24.589 AM] React+   || User: slayc127            || Channel: #yapper-committee                    || emoji=🍅; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:09:37.656 AM] React+   || User: simplyshadow171295  || Channel: #yapper-committee                    || emoji=👎; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:09:38.158 AM] React+   || User: simplyshadow171295  || Channel: #yapper-committee                    || emoji=💔; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:09:38.293 AM] React-   || User: unknown             || Channel: #yapper-committee                    || emoji=💔; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:09:39.090 AM] React+   || User: simplyshadow171295  || Channel: #yapper-committee                    || emoji=💔; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:09:39.550 AM] React+   || User: simplyshadow171295  || Channel: #yapper-committee                    || emoji=🍅; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:28:34.969 AM] React+   || User: a1darek             || Channel: #yapper-committee                    || emoji=🍅; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:28:42.857 AM] Message  || User: a1darek             || Channel: #yapper-committee                    || Content: <:SHAME:1418029043399266355>
[10/19/2025 08:32:20.759 AM] React+   || User: .bettercalljack     || Channel: #yapper-committee                    || emoji=👎; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:32:21.100 AM] React+   || User: .bettercalljack     || Channel: #yapper-committee                    || emoji=💔; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:32:21.395 AM] React+   || User: .bettercalljack     || Channel: #yapper-committee                    || emoji=🍅; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 08:38:10.335 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: He did some fine work
[10/19/2025 08:38:54.232 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: Ma boy is up and running on this beautiful Sunday morning
[10/19/2025 08:43:05.411 AM] Message  || User: kcreepertux04       || Channel: #yapper-committee                    || Content: it’s 68 and windy run it feels great in the sun
[10/19/2025 08:43:17.530 AM] Message  || User: kcreepertux04       || Channel: #pet-pictures                        || Content: hunting squirrels
[10/19/2025 08:44:06.453 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: feels so fucking good outside i could cry
[10/19/2025 08:49:57.299 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=🎉; msg="feels so fucking good outside i could cr..." by slayc127
[10/19/2025 08:50:19.113 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=🔥; msg="Ma boy is up and running on this beautif..." by austinbaustinb
[10/19/2025 08:51:59.960 AM] Message  || User: the.lemonade.stand  || Channel: #purrley-pawsitive-pussy-pals        || Content: it’s officially fall !
[10/19/2025 09:02:47.667 AM] React+   || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="feels so fucking good outside i could cr..." by slayc127
[10/19/2025 09:02:49.018 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: (no text; attachments=1)
[10/19/2025 09:02:49.191 AM] React+   || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="it’s officially fall !" by the.lemonade.stand
[10/19/2025 09:06:32.287 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="it’s officially fall !" by the.lemonade.stand
[10/19/2025 09:06:56.257 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=❤️; msg=1429469845467955291
[10/19/2025 09:06:59.120 AM] Message  || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || Content: AWEEHDHDHD
[10/19/2025 09:07:18.382 AM] React+   || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || emoji=❤️; msg=1429469845467955291
[10/19/2025 09:07:18.707 AM] React+   || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="it’s officially fall !" by the.lemonade.stand
[10/19/2025 09:07:30.887 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: sobbing
[10/19/2025 09:07:41.176 AM] React+   || User: slayc127            || Channel: #pet-pictures                        || emoji=😆; msg="hunting squirrels" by kcreepertux04
[10/19/2025 09:08:21.142 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: my friends vs being on time 😔✊️
[10/19/2025 09:20:59.945 AM] React+   || User: otirain_butdiscorb  || Channel: #yapper-committee                    || emoji=👎; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 09:21:14.403 AM] Message  || User: otirain_butdiscorb  || Channel: #yapper-committee                    || Content: finally my closet can strive <:happycat:834819172546510868>
[10/19/2025 09:21:26.739 AM] Message  || User: otirain_butdiscorb  || Channel: #yapper-committee                    || Content: I deadass only have long sleeve items
[10/19/2025 09:22:41.291 AM] Message  || User: thedan5000          || Channel: #pictures-of-the-cats                || Content: (no text; attachments=1)
[10/19/2025 09:22:41.610 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=1
[10/19/2025 09:23:42.780 AM] React+   || User: kitadan             || Channel: #yapper-committee                    || emoji=👎; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 09:23:57.211 AM] React+   || User: kitadan             || Channel: #pet-pictures                        || emoji=😆; msg="hunting squirrels" by kcreepertux04
[10/19/2025 09:40:02.062 AM] React+   || User: mochenoch           || Channel: #yapper-committee                    || emoji=👎; msg="High of 90 tomorrow :(" by adeyumii
[10/19/2025 09:50:29.509 AM] React+   || User: m_digio             || Channel: #feeding-team                        || emoji=🔥; msg="yeah bro i was lying in bed after my shi..." by lifeye
[10/19/2025 10:01:53.500 AM] Message  || User: kitadan             || Channel: #yapper-committee                    || Content: Reminder:  The next few days are going to feel much hotter than toda...
[10/19/2025 10:02:49.896 AM] Message  || User: kitadan             || Channel: #yapper-committee                    || Content: Also to all vehicle owners, if your low tire pressure sensor comes o...
[10/19/2025 10:05:02.237 AM] Message  || User: ludavis             || Channel: #yapper-committee                    || Content: Quiktrip has free air btw
[10/19/2025 10:09:08.654 AM] React+   || User: slayc127            || Channel: #yapper-committee                    || emoji=❤️; msg="Reminder:  The next few days are going t..." by kitadan
[10/19/2025 10:31:44.923 AM] React+   || User: emiximez            || Channel: #pictures-of-the-cats                || emoji=🩷; msg=1429474846047473694
[10/19/2025 10:38:41.740 AM] React+   || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || emoji=🔥; msg="Ma boy is up and running on this beautif..." by austinbaustinb
[10/19/2025 10:38:45.687 AM] React+   || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="it’s officially fall !" by the.lemonade.stand
[10/19/2025 10:38:50.439 AM] React+   || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || emoji=🎉; msg="feels so fucking good outside i could cr..." by slayc127
[10/19/2025 10:38:50.675 AM] React+   || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="feels so fucking good outside i could cr..." by slayc127
[10/19/2025 10:39:05.471 AM] Message  || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || Content: IM WORKING OUT SIDE IN MY SWEATRR ‼️‼️‼️‼️‼️
[10/19/2025 10:39:19.963 AM] Message  || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || Content: I KNOW LOVE I KNOW WHAT IT MEANS TO LIVE ‼️‼️‼️‼️
[10/19/2025 10:39:29.108 AM] React+   || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="IM WORKING OUT SIDE IN MY SWEATRR ‼️‼️‼️..." by a1darek
[10/19/2025 10:39:36.540 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: SO TRUE
[10/19/2025 10:40:24.170 AM] React+   || User: adeyumii            || Channel: #pictures-of-the-cats                || emoji=🩷; msg=1429474846047473694
[10/19/2025 10:43:33.148 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="IM WORKING OUT SIDE IN MY SWEATRR ‼️‼️‼️..." by a1darek
[10/19/2025 10:48:26.205 AM] Message  || User: coziidruid          || Channel: #pictures-of-the-cats                || Content: he likes to make sure people r safe at night!!!
[10/19/2025 10:48:39.968 AM] Message  || User: coziidruid          || Channel: #pictures-of-the-cats                || Content: he used to walk me to my car after work all the time
[10/19/2025 10:50:10.362 AM] Message  || User: .bettercalljack     || Channel: #pictures-of-the-cats                || Content: Aww
[10/19/2025 10:50:14.157 AM] React+   || User: .bettercalljack     || Channel: #pictures-of-the-cats                || emoji=🩷; msg=1429474846047473694
[10/19/2025 10:51:05.497 AM] Message  || User: adeyumii            || Channel: #pictures-of-the-cats                || Content: He likes being followed
[10/19/2025 10:51:28.804 AM] React+   || User: slayc127            || Channel: #pictures-of-the-cats                || emoji=🩷; msg=1429474846047473694
[10/19/2025 10:51:40.255 AM] React+   || User: slayc127            || Channel: #pictures-of-the-cats                || emoji=‼️; msg="he likes to make sure people r safe at n..." by coziidruid
[10/19/2025 10:52:08.951 AM] React+   || User: simplyshadow171295  || Channel: #pictures-of-the-cats                || emoji=‼️; msg="he likes to make sure people r safe at n..." by coziidruid
[10/19/2025 11:08:14.156 AM] React+   || User: orphean_            || Channel: #feeding-team                        || emoji=💀; msg="super late maintenance fed" by lifeye
[10/19/2025 11:08:15.152 AM] React+   || User: orphean_            || Channel: #feeding-team                        || emoji=🔥; msg="yeah bro i was lying in bed after my shi..." by lifeye
[10/19/2025 11:08:29.611 AM] React+   || User: orphean_            || Channel: #feeding-team                        || emoji=❤️; msg="we could make an insta reel of him “sing..." by simplyshadow17...
[10/19/2025 11:08:32.644 AM] React+   || User: orphean_            || Channel: #feeding-team                        || emoji=‼️; msg="insane high notes" by _costco_wholesale_
[10/19/2025 11:13:24.559 AM] React+   || User: kitadan             || Channel: #pictures-of-the-cats                || emoji=🩷; msg=1429474846047473694
[10/19/2025 11:18:14.809 AM] Action   || Name: gmail_log_scheduler || Trigger: found=2                              || Output: logged=2
[10/19/2025 11:18:14.900 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Sophia Herrera $6.00 on 2025-08-26
[10/19/2025 11:18:14.900 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Jordin Baylee $5.00 on 2025-08-26
[10/19/2025 11:18:14.900 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Axel Torres $24.25 on 2025-08-22
[10/19/2025 11:18:14.900 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Megan Digiovanni $47.62 on 2025-08-26
[10/19/2025 11:18:14.900 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: M. Padron $20.00 on 2025-08-26
[10/19/2025 11:18:14.900 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Sophia Herrera $6.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Addison Loera $8.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Amber Thomas $5.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Jordin Baylee $5.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Kathleen Cantu $1.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Amber Thomas $3.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Rob Jimenez $3.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Daniel Brantley $3.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Isabella Klein $9.70 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Wix $25.98 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Nelda Hernandez $2.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Troy Broome $1.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Div Bits $2.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Jacob Sandoval $1.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Aubrey Cunningham $10.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Maxwell Preston $5.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Sophia Herrera $6.00 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Derek Fuentes $25.98 on 2025-08-26
[10/19/2025 11:18:14.916 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Miguel V $5.00 on 2025-08-26
[10/19/2025 11:18:14.932 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Nelda Hernandez $3.00 on 2025-08-26
[10/19/2025 11:18:14.932 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Megan Digiovanni $130.00 on 2025-08-26
[10/19/2025 11:18:14.932 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Pedro Savala $5.00 on 2025-08-27
[10/19/2025 11:18:14.932 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Jonathan Mcgeever $5.00 on 2025-08-27
[10/19/2025 11:18:14.932 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: NNT PETSMART # $32.46 on 2025-08-06
[10/19/2025 11:18:14.932 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Py Store Here Pantego $54.00 on 2025-08-20
[10/19/2025 11:18:14.932 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Megan Digiovanni $74.92 on 2025-07-30
[10/19/2025 11:18:14.932 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: TOMAHAWK LIVE TRAP $581.62 on 2025-05-12
[10/19/2025 11:18:14.932 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: TOMAHAWK LIVE TRAP $581.62 on 2025-05-12
[10/19/2025 11:18:18.291 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Cynthia griffith $10.00 on 2025-04-16
[10/19/2025 11:18:18.291 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Caleb Moran $4.00 on 2025-04-16
[10/19/2025 11:18:18.291 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Alberto $6.00 on 2025-04-16
[10/19/2025 11:18:18.291 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jacob Sandoval $2.91 on 2025-04-16
[10/19/2025 11:18:18.291 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: tay $5.00 on 2025-04-16
[10/19/2025 11:18:18.291 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Nelda Hernandez $2.00 on 2025-04-16
[10/19/2025 11:18:18.291 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Maria Olds $10.00 on 2025-04-16
[10/19/2025 11:18:18.291 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Mario Rodriguez $3.00 on 2025-04-16
[10/19/2025 11:18:18.291 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Elisha Taylor $5.00 on 2025-04-16
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jacob Sandoval $3.00 on 2025-04-16
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Isabella Klein $9.70 on 2025-08-26
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Nelda Hernandez $2.00 on 2025-08-26
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Troy Broome $1.00 on 2025-08-26
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Div Bits $2.00 on 2025-08-26
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jacob Sandoval $1.00 on 2025-08-26
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Aubrey Cunningham $10.00 on 2025-08-26
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Maxwell Preston $5.00 on 2025-08-26
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Sophia Herrera $6.00 on 2025-08-26
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Miguel V $5.00 on 2025-08-26
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Nelda Hernandez $3.00 on 2025-08-26
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Megan Digiovanni $130.00 on 2025-08-26
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Pedro Savala $5.00 on 2025-08-27
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jonathan Mcgeever $5.00 on 2025-08-27
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Axel Torres $24.25 on 2025-08-22
[10/19/2025 11:18:18.307 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: M. Padron $20.00 on 2025-08-26
[10/19/2025 11:18:18.322 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Addison Loera $8.00 on 2025-08-26
[10/19/2025 11:18:18.322 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Amber Thomas $5.00 on 2025-08-26
[10/19/2025 11:18:18.322 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Kathleen Cantu $1.00 on 2025-08-26
[10/19/2025 11:18:18.322 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Amber Thomas $3.00 on 2025-08-26
[10/19/2025 11:18:18.322 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Rob Jimenez $3.00 on 2025-08-26
[10/19/2025 11:18:18.322 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Daniel Brantley $3.00 on 2025-08-26
[10/19/2025 11:18:18.322 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Kylie Crook $5.00 on 2025-09-16
[10/19/2025 11:18:18.322 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jenny Nguyen $9.70 on 2025-09-03
[10/19/2025 11:18:19.346 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Py Store Here Pantego $54.00 on 2025-04-20
[10/19/2025 11:18:19.346 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: j s $11.68 on 2025-04-22
[10/19/2025 11:18:19.346 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Wix $25.98 on 2025-04-26
