,"Helper count column, this is just the ID number extracted, ignore.",Last seen date,Last Seen time,Last seen by,,Link of most recent image,Location,Physical Description,Birthday estimate,Behavior,TNR'd?,TNR date,Male or Female,Common nicknames,Comments,Number of pics,Recently seen? (Automatically checked if a photo is sent of this cat in the last 3 months AND they are NOT 'confirmed to not return'),"Confirmed to not return (Use this if deceased, adopted, assumed permanently missing, or similar)"
70. Enchilada,70,4/1/2025,9:11:12 AM,pancakemixteamdj,,https://drive.google.com/uc?export=view&id=1f_N5RZksshSP_KFa6ZgJCzbp20MPDE3O,Lot 50,Looks like Empanada,1/1/2022,,No,,Male probably,,,,FALSE,FALSE
71. Robin,71,4/29/2025,8:01:49 AM,skelehusk,,https://drive.google.com/uc?export=view&id=1s3rqvmhqZReuIt6V29ikQHt7BFskwSmq,"Mary Kay Apartments, Zen Gardens Apartments",Tabby little guy at Liv+,1/1/2024,Unknown. Was found frolicking after a robin. Hangs out with Unnamed Noir Child a fair bit. Can be spotted around Liv+ and the east border of campus,No,,Male,,,,FALSE,FALSE
72. Mr Sir,72,4/1/2025,8:24:09 PM,argonaut_1,,https://drive.google.com/uc?export=view&id=13dqwcgFHvl184jVJgIV6QBgLyvplC3k1,"Mary Kay Apartments, Zen Gardens Apartments",Beige-ish tabby found at Liv+,1/1/2022,Very nice. Meows at the window in the morning.,No,,Male,"Fountain Pen, Mr. Pen",Humanely euthanized 4/10/2025 due to complications with FIV,,FALSE,FALSE
73. Coronavirus,73,11/12/2025,9:46:03 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1mgXZK8DwDBHgot7o8Y7Mv6VRWS7lke0Q,"All over!, Bookstore / First Baptist Church",Basic brown tabby with a jaw comparible to a lion. Commonly confused with hershey and waffles,1/1/2022,Lets people get surprisingly close before running away. Twix saw this cat and puked. Eraser and eggs seemed scared.,No,,Male,,,,FALSE,FALSE
75. Musketeer,75,4/12/2025,2:40:17 PM,adeyumii,,https://drive.google.com/uc?export=view&id=1NS8AvChcfRdZbezuPWRcAFglXwmjeAWM,Bookstore / First Baptist Church,Brown tabby with small eyes and a saddle on his back. Tom cat cheeks,1/1/2023,Baby daddy behavior,No,,Male,,,,FALSE,FALSE
76. Eezard,76,2/21/2026,5:26:54 PM,spitonme,,https://drive.google.com/uc?export=view&id=1uc4raPcPxEuh0PboEcRXavkPLxIPiTh8,All over!,Usually a little green feller,5/14/1984,Skitters,We don't do that.,,Boffum,"Lizard, Anole",,,TRUE,FALSE
77. Ooni,77,2/23/2026,5:15:06 PM,cici4f3,,https://drive.google.com/uc?export=view&id=1HBAC9h7iftn3BstClXixfJucHaWFsLUd,Lot 50,Solid gray with an inquisitive look. Yellow eyes,1/1/2023,Unknown,No,,,,,,TRUE,FALSE
78. Ed Sheeran,78,4/28/2025,3:13:17 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1srQTEsI1VlcEa2-yHxaGSVlF4EdygR0h,Bookstore / First Baptist Church,Bobbie's orange kitten with an interesting face,4/5/2025,Not yet weaned (As of 4/15/2025),No,,Male,,"Bobbie's child, possibly also Glockenspiel's. Adopted",,FALSE,FALSE
79. Leaflet,79,4/28/2025,3:13:17 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1GwTqI1Ag1PNgwGWc9ZahJQ09Sb02WiVz,Bookstore / First Baptist Church,Bobbie's tortie kitten with an inquisitive look,4/5/2025,Not yet weaned (As of 4/15/2025),No,,Female,,Bobbie's Child. Adopted,,FALSE,FALSE
80. Atzi,80,2/8/2026,4:40:59 PM,wildflower1202,,https://drive.google.com/uc?export=view&id=1ygfJiK-UCBPE-AdZK8YltQFgGGiW0PoE,Bookstore / First Baptist Church,Gray tabby with white socks and bottom part of neck,1/1/2021,"Skittish, good mother",Yes,10/15/2025,Female,Christian name Rain,"Meaning ""rain""",,TRUE,FALSE
81. Ehecatl,81,4/21/2025,5:11:40 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1WT9ocg5DpSGf9Pz6MK76-vN4mgOySKnI,Bookstore / First Baptist Church,Gray top white belly and sploches cat,4/8/2025,N/A,No,,,,"Meaning ""wind""",,FALSE,FALSE
82. Tlatecuini,82,4/21/2025,4:36:11 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1dWbj8xRL9S2nS8-sDyvNJnpSIxFnFS18,Bookstore / First Baptist Church,Brown tabby,4/8/2025,N/A,No,,,,"Meaning ""thunder""",,FALSE,FALSE
83. Mixtli,83,4/21/2025,5:11:09 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1elAKa0_sQULmHEkOLqGnXto5ID31Qzs8,Bookstore / First Baptist Church,Gray top and white sleeves and nose,4/8/2025,N/A,No,,,,"Meaning ""cloud""",,FALSE,FALSE
84. Maddox,84,11/5/2025,7:51:16 PM,adeyumii,,https://drive.google.com/uc?export=view&id=1LyeCguNEJv6U960r36vMcV3loem4cMnx,Lot 50,Black and white tuxedo with lots of white on their face,,,No,,,,Possibly travels with Teddy,,FALSE,FALSE
85. Pallas,85,5/6/2025,8:50:00 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=14tWCZa5pkI8cyFMIIns5QkGIj9xLhzIf,Lot 50,Skinny brown tabby,,,,,,,,,FALSE,FALSE
86. Honda,86,5/9/2025,7:15:00 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1X7YkduCUS5e4eBzsj9wmlcsgxMMpAOzL,Lot 50,Ash-gray classic tabby,,,,,,,honder,,FALSE,FALSE
87. Bandit,87,11/10/2025,7:02:34 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1I3YCbmcNUM66e_bbCQgn9higl8_TEpQV,All over!,Raccoon!!! Big ol tail. little procyon hands,1/1/2020,Hungry. Does NOT like to be pet!!!,We don't do that.,,Yep,,,,FALSE,FALSE
88. Vincente,88,1/3/2026,9:22:43 PM,adeyumii,,https://drive.google.com/uc?export=view&id=10_B2oiGOg6_q4gFiGHnvw0WTJvDRzCzk,Lot 50,Baby brown tabby,7/1/2025,Just a baby thing,Yes,11/19/2025,Male,,,,TRUE,FALSE
89. Petal,89,12/26/2025,10:00:58 AM,dianaiceflame,,https://drive.google.com/uc?export=view&id=1whAFYh7qlpK6nzGrJLXkVCC8nHKva6Xy,West Campus,"High white calico, longhaired",,Runs (rude),No,,Female,,,,TRUE,FALSE
90. Chimichanga,90,12/6/2025,6:02:31 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=12SHFnIMU9tHuQzvIZrNIkibApxKHPAbN,West Campus,"Low white black tuxedo, longhaired",,Stares (rude),No,,,,,,TRUE,FALSE
91. Butter,91,8/22/2025,8:11:42 PM,kitadan,,https://drive.google.com/uc?export=view&id=1EHAd9B2COATDZE-G_vWPq3ooyvQPhofv,"Mary Kay Apartments, Zen Gardens Apartments",Little gray-brown tabby baby,5/1/2025,Shy guy,No,,,,,,FALSE,FALSE
92. Cloudy,92,10/5/2025,9:48:57 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1g-zUU15CT_GZvTFVt8s7QdzkamLQ8BGl,Bookstore / First Baptist Church,Gray with no white,6/1/2025,Just a baby,No,,,Cirrus,,,FALSE,FALSE
93. Meatball,93,11/21/2025,1:46:33 PM,adeyumii,,https://drive.google.com/uc?export=view&id=1VWg7FMwl2sUN5VK_tz4EFCaEfupdv8cS,Bookstore / First Baptist Church,Brown with large white socks and white marking on his lower face,6/1/2025,Scared baby,No,,,Nimbus,Elision/Bobbie child,,FALSE,FALSE
94. Itztli,94,2/28/2026,9:25:44 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=1YFrUKlfte9bjkLd1yIsWS5Q2rku525yB,Bookstore / First Baptist Church,"Solid black with a thinner coat, bright yellow eyes",2/1/2025,Sleepy but scared kitty. Getting used to people but runs at the slightest shift,No,,Female,Christian name Obsidian,"Name means ""obsidian"". Mother of Hira, Haku, and aago",,TRUE,FALSE
95. Ariel,95,2/28/2026,1:07:19 PM,pandaaaas,,https://drive.google.com/uc?export=view&id=1HD1G0Yklj2To72sRd6Xgb-oFgj0kGPNI,Lot 50,"Gray and white piebald, Rubber's baby",4/25/2025,"Just a babby, actively being domesticated",Yes,11/19/2025,Male,,,,TRUE,FALSE
96. Barbie,96,2/25/2026,7:56:50 PM,phoenixvoidz,,https://drive.google.com/uc?export=view&id=1VFMWw6B0AlExxQmbkVIYwm3k7HBQTZ21,West Campus,West campus version of Bobbie. Gray-ish black and orange. Almost identical in terms of rate of pregnancies.,,Pregnant,No,,Female,,,,TRUE,FALSE
97. Simba,97,2/22/2026,2:59:46 PM,pandaaaas,,https://drive.google.com/uc?export=view&id=1480KM0VUYY4gzbecmV8mBoaVTZRjokhx,West Campus,"Light orange tabby, tiny baby",,Runs,No,,,,Likely Barbie child,,TRUE,FALSE
98. Timon,98,2/28/2026,4:11:21 PM,pandaaaas,,https://drive.google.com/uc?export=view&id=1MDwYu4fv_FCmd2Wy8YTDFWi7HhvVDkzo,West Campus,"Medium orange tabby, a bit bigger",,Runs,No,,,,Likely Barbie child,,TRUE,FALSE
99. Nezhui,99,1/13/2026,2:42:01 PM,wildflower1202,,https://drive.google.com/uc?export=view&id=1Hmm4AKz7eCGxDOb3SFjnGZCvoGjXs7x8,Bookstore / First Baptist Church,"Brown tabby kitten. Forehead ""M"" marking looks more like brackets than an M.",7/8/2025,Actively being domesticated,No,,Female,Christian name Skittle,"Name meaning ""my blood"" or ""my kin"". Was found poisoned on the morning of 1/13/2026.",,TRUE,FALSE
100. Coatl,100,2/27/2026,9:44:38 AM,adeyumii,,https://drive.google.com/uc?export=view&id=1eZiFyd-z-dObO7yuToNWXdPWbQp_S_pu,Bookstore / First Baptist Church,Slightly larger and darker brown tabby. Big eyes,7/8/2025,Likes to bite fingers (gently) and stare you down,No,,Male,Christian name Racer,"Name meaning ""snake""",,TRUE,FALSE
101. Nori,101,12/23/2025,12:21:14 PM,dianaiceflame,,https://drive.google.com/uc?export=view&id=1k7vDRqAgaMBUBQmMbnaohospP_D3o78y,West Campus,Solid black with light green/yellow eyes. Thickly built,1/1/2023,"Lets people get close, but eventually runs",No,,Female?,,,,TRUE,FALSE
102. Keaton,102,12/18/2025,1:39:18 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=11Ir0btOJsThoexIfcbtDuxVCxaXHVN6R,Lot 50,"Thickly built, solid gray short coat with orange eyes.",1/1/2022,Stares at your soul (rude),No,,Male,,,,TRUE,FALSE
103. Bea,103,2/19/2026,11:42:34 AM,izzyballz,,https://drive.google.com/uc?export=view&id=1fM8DYAQrx_NtO5Fz9IBDa2UQ4mpPklYY,Lot 50,"Gray and white piebald, fluffy coat",4/25/2025,Hungry.,No,,Male,Beabadoobee,,,TRUE,FALSE
104. Joji,104,2/9/2026,5:34:46 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1Foc1mQqs0U2TrAJxU10xcKM4zcz6HXlA,Lot 50,"Solid gray long coat, orange eyes",1/1/2025,Looks surprised all the time,No,,Male,,,,TRUE,FALSE
105. Chilton,105,2/24/2026,7:45:01 PM,wildflower1202,,https://drive.google.com/uc?export=view&id=1x8ynEUNiY1VaC9z2tupC-gER7i-coWw3,Bookstore / First Baptist Church,Brownish-gray tabby with white bib,7/8/2025,Scared baby. Loves to play with lure/flirt toys and fingers,Yes,11/19/2025,Female,Christian name Chili,"Name means ""little chili""",,TRUE,FALSE
106. Ami,106,1/11/2026,6:07:36 PM,wildflower1202,,https://drive.google.com/uc?export=view&id=1t-Wp_ntiCH1waISHYpQdxJNhq0XB9bat,Bookstore / First Baptist Church,Black and white bibbed with tall white socks on back legs and white pawtips. Slight white streak on face,8/8/2025,Hides in bushes. Loves to play with lure/flirt toys,No,,Male,"Amiton, Christian name Hunter","Name means ""hunter""",,TRUE,FALSE
107. Miztli,107,9/9/2025,1:16:47 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1hPYHaqjkqNr7vRLWGMyMM4cAGQOcZaVs,Bookstore / First Baptist Church,Black and white bibbed with one white back sock. Assumed deceased,8/8/2025,Very loud,No,,N/A,Christian name Willie,"Name means ""mountain lion"" or ""wildcat""",,FALSE,FALSE
108. Mazatl,108,2/27/2026,9:41:50 AM,adeyumii,,https://drive.google.com/uc?export=view&id=11aZzz6sithoIpGAB63rEyYIZTgGynAcg,Bookstore / First Baptist Church,"Light gray tabby with highlights on the underside, white toes, and under eye highlights. Fluffy/medium coat",8/1/2025,"Loves to lay and eat, wants to play but will not initiate it",No,,Male,Christian name Stag,"Name means ""deer""",,TRUE,FALSE
109. Tlalli,109,2/27/2026,9:41:50 AM,adeyumii,,https://drive.google.com/uc?export=view&id=1BnxQCe14KwGTvkof7h8W-vaTuu7d3HHz,Bookstore / First Baptist Church,"Short coated dark gray with white on toes and a streak on the nose. White bib and front toes, socks on back legs.",8/1/2025,He just kind of stares at you if you move. Will accept tube treats if you're nonchalant,No,,Male,Christian name Forrest,"Name means ""earth"" or ""soil""",,TRUE,FALSE
110. Ahua,110,11/12/2025,9:46:03 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1MEau3wEwZxovOzZZBRBEOdV8t5Z6xa6F,Bookstore / First Baptist Church,"Brown tabby with white back socks and a stripey tail. Highlights around the tops of eyes, sonar ears and large whiskers",8/1/2025,"Alert, skittish",No,,,Christian name Thorn,"Name means ""thorn"", assumed deceased",,FALSE,FALSE
111. Mayatl,111,12/9/2025,4:45:18 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1e7VrG_3uEUwE207aKsf3MMUGP8Tl2Jbb,Bookstore / First Baptist Church,"Gray tabby with darker stripey tail. White front toes and highlights all around eye. Small bib, white back socks.",8/1/2025,"Sleepy, enjoyer of people and playing",No,,Male,Christian name Beetle,"Name means ""beetle""",,TRUE,FALSE
113. Ty,113,9/11/2025,7:37:49 PM,phat_cat_207,,https://drive.google.com/uc?export=view&id=1Vn4A8AZdiz4N8V39hqaJr3WKf8HvF_IN,West Campus,Small solid white cat,6/1/2025,tiny,No,,,"Tighty Whites, Knickers",,,FALSE,FALSE
114. Elision,114,2/28/2026,8:35:59 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=18bD58QEtSMvFzQr3pm1eHJeqTpkl9j-t,Bookstore / First Baptist Church,"Medium brown tabby with white on his nose and lower face, along with a small brown patch on his chin.",1/1/2024,Extremely hungry. Will volunteer cats to get TNR'd,No,,Male,,,,TRUE,FALSE
115. Toothless,115,2/12/2026,2:46:49 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=18dE31aCiL977KpJsn6HSl_IbQXj03gID,North Campus / Engineering Research Building,"Solid black. Very long! A snake-like individual, this one is.",1/1/2023,INSANELY social,Yes,,Male,,"First spotted 9/13/2025, adopted 10/2/2025",,FALSE,TRUE
116. Itzel,116,2/27/2026,9:44:13 AM,adeyumii,,https://drive.google.com/uc?export=view&id=1fSiD3Vqu0aKouo-ORiJOn0cOxQfgDBya,Bookstore / First Baptist Church,Mostly black calico with large orange spot on face. ,8/16/2025,"Skittish, but enjoys playing and eating. Most of the way to allowing her people to pet her",No,,Female,Christian name Rainbow,"Name means ""rainbow lady""",,TRUE,FALSE
117. Chance,117,10/4/2025,8:36:24 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1xZiTyiOmIr_rlKyfgbOVsKgrG1Fblr39,Bookstore / First Baptist Church,Smaller version of Cloudy,6/1/2025,Just a guy,No,,,,,,FALSE,FALSE
118. Stinker,118,11/12/2025,8:52:27 AM,not_d3fault_1420,,https://drive.google.com/uc?export=view&id=1IT2p81NV6zmRJhpAWmW_rgge8qT0rwf1,All over!,Black with some white stripes,6/28/1971,Stinky,We don't do that.,,Indeed,,,,FALSE,FALSE
119. Wing,119,9/27/2025,7:38:41 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1cKKA6DKhDZTZMB_AlJSLcgUvgCt5ovcO,North Campus / Engineering Research Building,Calico kitten,,Runs (rude),,,Female,,Spotted with Stop,,FALSE,FALSE
120. Stop,120,9/27/2025,7:38:41 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1cKKA6DKhDZTZMB_AlJSLcgUvgCt5ovcO,North Campus / Engineering Research Building,Black kitten,,Stares (rude),,,,,Spotted with Wing,,FALSE,FALSE
121. Spongebop,121,11/5/2025,5:20:45 PM,kc.yt,,https://drive.google.com/uc?export=view&id=1Gj3eJdbXbWF8dasaSokltPdi7FFDLq5D,West Campus,Black tortoiseshell,,Stares at your soul (rude),Yes,,Female,Autumn,Found deceased 11/10/2025,,FALSE,TRUE
122. BDubs,122,10/23/2025,11:17:38 PM,emiximez,,https://drive.google.com/uc?export=view&id=1C6lmcIlTd3QhEsYhCJ5NqzTs2d7aKkLE,North Campus / Engineering Research Building,Adult black cat,,Extremely friendly,,,Male,Oil Rig,,,FALSE,FALSE
123. Temiquini,123,10/26/2025,7:18:34 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1DYUNHVzlEpfT4GLT7hyb0cf_n3xj1c4N,Bookstore / First Baptist Church,"Low white tortie, brown undersides",,Shameless food hogger,No,N/A,Female,"Christian name ""Dreamer""","Name means ""dreamer"". Passed away 10/27/2025",,FALSE,TRUE
124. Yumi,124,2/22/2026,2:08:16 PM,pandaaaas,,https://drive.google.com/uc?export=view&id=1czlNoVxz4Sup_E5JuAyur9pNgm7OQHfZ,Lot 50,"Brown/gray and white tabby, looks like Eden, but has a white splotch on his back left leg.",,Really frightened by people,No,,Male,"Sixty-seven, 67","Gorygreg baby, likely sibling to Conan Gray",,TRUE,FALSE
125. Conan Gray,125,2/27/2026,12:05:32 PM,pancakemixteamdj,,https://drive.google.com/uc?export=view&id=13jGV9rrzX3fppgiyG2I8MeTLIudyCXWV,Lot 50,Black and white baby 🥀 ,,May let you pet him if you catch him while he's eating,No,,Male,,"Gorygreg baby, likely sibling to Yumi",,TRUE,FALSE
126. Tax Evasion,126,2/28/2026,8:35:59 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=1u_IYMS7UbZ0i-LIoiADCF9LmPF5kC-2s,Bookstore / First Baptist Church,"Thick. Solid black, yellow eyes",,"Very elusive. Runs when spotted. Also very argumentative, can be seen yowling at Bobbie",Yes,1/16/2026,Male,,"Similar size to Itzli, clipped ear. Doesn't cross the street to FBC. Bro weighed in at 11 lbs when he was neutered",,TRUE,FALSE
127. Eleanor,127,12/8/2025,8:43:14 PM,adeyumii,,https://drive.google.com/uc?export=view&id=1R15gkR-rIy8MYC9d8cLq_JyCGB6Czh8E,Lot 50,High white gray/orange calico. Has a gray streak on her nose,,,No,,Female,,Perhaps related to Laufey?,,TRUE,FALSE
128. Sinatra,128,2/21/2026,3:25:31 PM,pandaaaas,,https://drive.google.com/uc?export=view&id=1MhjbSYD5GqhaN9vEXsmS47TNQLhTAHwr,Lot 50,"Tiny brown tabby, thick arm bands",,"Very sociable, can be picked up",Yes,11/19/2025,Male,,Adopted,,TRUE,FALSE
129. Charles,129,2/27/2026,4:44:22 PM,le_nuit_sans_fin,,https://drive.google.com/uc?export=view&id=1D9onY71lzkO0YDd1ySKf_mmsjNTGK7tg,Heights On Pecan,Light ginger with a mean face and white bib,1/1/2023,Hungry,No,,,,,,TRUE,FALSE
130. Skipper,130,11/13/2025,5:38:30 PM,plink5277,,https://drive.google.com/uc?export=view&id=1fHVHeu7Ici4QGKtJpcXm4Wd3YWNOsBA9,West Campus,Darker brown tabby,9/10/2025,Just a baby,No,,,,,,FALSE,FALSE
131. Jazzy,131,#N/A,#N/A,#N/A,,#N/A,West Campus,Lighter brown tabby,9/10/2025,Just a baby,No,,,,,,FALSE,FALSE
132. Kelley,132,11/13/2025,5:38:30 PM,plink5277,,https://drive.google.com/uc?export=view&id=1fHVHeu7Ici4QGKtJpcXm4Wd3YWNOsBA9,West Campus,Plain dark orange tabby,9/10/2025,Just a baby,No,,,,,,FALSE,FALSE
133. Fluff,133,11/13/2025,5:38:30 PM,plink5277,,https://drive.google.com/uc?export=view&id=1mMuWw-TqMb6K6-aJ7bYRQ_2OmpQdMgKv,West Campus,Light orange/white bib,9/10/2025,Just a baby,No,,,,,,FALSE,FALSE
134. Kacie,134,10/27/2025,3:03:52 PM,emiximez,,https://drive.google.com/uc?export=view&id=171gZ13EGF9Z9v9dbNhuNmGrQyIPPm5PT,West Campus,"Gray tabby, I think",9/10/2025,Just a baby,No,,,,,,FALSE,FALSE
135. Tumor,135,10/29/2025,5:03:27 PM,void_now,,https://drive.google.com/uc?export=view&id=1UcgUX-YNP1pEfKDcZJldKd3-PGuHfqf8,"Mary Kay Apartments, Zen Gardens Apartments",High white creature with a funny looking 'haircut' of black,,Idk,,,,,,,FALSE,FALSE
136. Henry,136,10/29/2025,9:50:40 PM,izzyballz,,https://drive.google.com/uc?export=view&id=1hUfXe0Icj0JEDgdUK7HIOde0TalHAj72,West Campus,CHUNKY brown tabby,,Wanders,,,,,Honorary campus cat,,FALSE,FALSE
137. Harpy,137,2/19/2026,11:42:34 AM,izzyballz,,https://drive.google.com/uc?export=view&id=1BrLY1j3gHEPh5FnQLl7izui0yNcyVyNU,Lot 50,Brown classic tabby,10/5/2025,"Not social, will stare at you funny",No,,,,,,TRUE,FALSE
138. Hare,138,2/5/2026,11:56:48 AM,adeyumii,,https://drive.google.com/uc?export=view&id=1NiUF3pJWvc5VdmOk1pVx-X43E1fH5Wcv,Lot 50,Fluffy gray,10/5/2025,Stares at you like you've got a disease,No,,,,Deceased 2/4/2026,,FALSE,TRUE
139. Hound,139,2/9/2026,5:34:46 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1Foc1mQqs0U2TrAJxU10xcKM4zcz6HXlA,Lot 50,Brown mackarel tabby,10/5/2025,Likes to sit next to Sinatra and confuse Atlas when they're IDing,No,,,,,,TRUE,FALSE
140. Gordon,140,2/17/2026,3:28:04 PM,pancakemixteamdj,,https://drive.google.com/uc?export=view&id=1qlGT_697K3f7uwR1anRcqA9bZ27lX1bU,Lot 50,"Solid gray adult, short fur, green eyes",,Possibly traveling with Maddox?,,,,,,,TRUE,FALSE
141. Kamahalan,141,12/6/2025,2:35:55 PM,adeyumii,,https://drive.google.com/uc?export=view&id=1lf7jgSt1GMosqdtgFMfiCmzKlk7rwZjy,Lot 50,Gray kitten,10/5/2025,Possibly rejected. Very social with humans,No,,Male,,,,TRUE,FALSE
142. Teddy,142,11/19/2025,12:56:50 PM,adeyumii,,https://drive.google.com/uc?export=view&id=1KHogLaHkotS1obEnryl9VdBsZ30jSvOJ,Lot 50,Gray and white adult,,,,,,,May be Rubber's sibling,,FALSE,FALSE
143. Timothy,143,11/19/2025,12:56:50 PM,adeyumii,,https://drive.google.com/uc?export=view&id=1KHogLaHkotS1obEnryl9VdBsZ30jSvOJ,Lot 50,Solid black adult,,,,,,,Named via donation,,FALSE,FALSE
144. Peats,144,2/16/2026,6:37:22 PM,izzyballz,,https://drive.google.com/uc?export=view&id=1aUwDNH1wpnDBMHKA3m1S6Xti8M6K3mra,Lot 50,Tan broken tabby tom,,Drools,No,,Male,,,,TRUE,FALSE
145. Bagel,145,2/8/2026,12:34:45 AM,emiximez,,https://drive.google.com/uc?export=view&id=1w9p2jSgtw7T8WWpSq-_kf8Mtd2jXjbX-,Heights On Pecan,Dark orange guy,,Hates you,No,,,,,,TRUE,FALSE
146. Monsieur Stanky,146,2/23/2026,5:15:06 PM,cici4f3,,https://drive.google.com/uc?export=view&id=1QWf03HJcLkM4aKXuOCLAlAKpwLeLHC0e,Lot 50,Mr. Stinky Clone. Longhaired classic tabby with a weird stare,,,No,,Female,Missus Stanky,,,TRUE,FALSE
147. Tenextic,147,2/20/2026,9:05:27 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=1A-q35inYHRTIeJBTrKercfp5XmJrcUnF,Bookstore / First Baptist Church,Dark gray tabby with a slim face. Bright green eyes,,Will watch you from a distance,Yes,2/16/2026,Male,"Random Gray, Gray",Probably Atzi's brother or something,,TRUE,FALSE
148. Neyo,148,11/26/2025,11:50:14 AM,adeyumii,,https://drive.google.com/uc?export=view&id=1385yWe2fVONBsluzGagOg08erwaYloM2,Lot 50,Skinny brown tabby,,Beefs,,,Male,,,,FALSE,FALSE
149. Mango,149,12/6/2025,2:45:55 PM,.bettercalljack,,https://drive.google.com/uc?export=view&id=1MV7xkxYpMht1kNsf8fcMgS3WhYNM_3pW,Zen Gardens Apartments,Orange Noir baby.,11/10/2025,Just a babby,No,,,,,,TRUE,FALSE
150. Larceny,150,2/20/2026,9:05:27 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=1A-q35inYHRTIeJBTrKercfp5XmJrcUnF,Bookstore / First Baptist Church,Mr. Stinky lookalike,,Likes fighting,No,,Male,,,,TRUE,FALSE
151. TheFreaker,151,2/20/2026,9:23:21 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=1BYo_eZ36wkOtAjzwxKD66d_XGXTxTPI9,Bookstore / First Baptist Church,Houdini lookalike,,Likes fighting,No,,Male,"The Freaker, The Mimic",,,TRUE,FALSE
152. Cow Cat,152,#N/A,#N/A,#N/A,,#N/A,Lot 50,Black and white cow patterned cow cat! They have a distinctive 'black splatter' pattern on a mostly white body.,,,No,,,,,,FALSE,FALSE
153. Pachontic,153,2/20/2026,7:26:59 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=1Kaf_BvN5EPpPHRz9de9quZZ9X6fwX5oc,Bookstore / First Baptist Church,Long hair gray and white. Face described as 'rat-like'. Big 'ol guy.,,"Skittish, runs",No,,Male,Eggs Clone,"Name means: ""Something wooly or hairy""",,TRUE,FALSE
154. Cipactli,154,2/24/2026,7:45:22 PM,wildflower1202,,https://drive.google.com/uc?export=view&id=18ZrsQpnhsbeH39OftJt_jVx6KPoEzbuI,Bookstore / First Baptist Church,"Tepi's almost-identical twin? Light gray tabby with broader face. Yellow eyes, black nose.",,"Skittish, stares at you until you get close",Yes,2/16/2026,Female,Gator,"Name meaning ""alligator""",,TRUE,FALSE
155. Red 40,155,2/20/2026,9:05:27 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=1A-q35inYHRTIeJBTrKercfp5XmJrcUnF,Bookstore / First Baptist Church,Brown tabby that looks either scared or sad all the time. HUGE tom cheeks,,Skittish but not completely afraid to fight,No,,Male,,,,TRUE,FALSE
156. Nyauri,156,2/5/2026,8:19:47 PM,lemonelon_,,https://drive.google.com/uc?export=view&id=147rNwwSTV9UNImTUIMEMOU-6PdrFSo7_,Center Chase Apartments & The Greens,"Black and white bicolor, white stripe down its back",,Possibly a skunk? /j,No,,,,"Name means ""Mongoose""",,TRUE,FALSE
157. Bundy,157,2/16/2026,6:15:35 PM,wildflower1202,,https://drive.google.com/uc?export=view&id=1Hr9ZUglwBl7aKOPvFlIdzf31_XPPsCBV,Bookstore / First Baptist Church,Orange tuxedo with markings on snout,,Stares and fights but will run from strangers,No,,Male,EMWFOC,Was found fighting Coatl,,TRUE,FALSE
158. Ripe Banana,158,2/26/2026,7:20:49 PM,slayc127,,https://drive.google.com/uc?export=view&id=18xBI66JhnKcsgxDnp1Tw6-Pez1fuznzY,West Campus,Black cat with yellow eyes,,,No,,Male,,"""West Campus Black Cat""",,TRUE,FALSE
159. ARDRC,159,2/24/2026,5:23:50 PM,toad5545,,https://drive.google.com/uc?export=view&id=1QskSw7Fb4lNxuZfhSbaKQ8aX2DKDY9yt,West Campus,Cream colored longhaired baby,,SUPER friendly,No,,,,"Found at ARDRC, may be someone's pet",2,TRUE,FALSE
160. Hira,160,2/28/2026,9:25:44 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=1YFrUKlfte9bjkLd1yIsWS5Q2rku525yB,Bookstore / First Baptist Church,Gray kitten with white on face,2/23/2026,,No,,,,itztli's litter,,TRUE,FALSE
